text,label
动力差,消极
油耗很低，操控比较好。第二箱油还没有跑完。油耗显示为5.9了，本人13年12月刚拿的本，跑出这样的油耗很满意了。,积极
乘坐舒适性,积极
最满意的不止一点：1、车内空间一流，前后排均满足使用需求，后备箱空间相当大；2、外观时尚，珠光白尤其喜欢，看起来也上档次，性价比超高！3、内饰用料在同级别车重相当厚道，很软，手感很好！,积极
空间大，相对来说舒适性较好，性比价好些。,积极
暂时还没有吧，唯一不满意的就是车身抖动的时候中控会有滋滋滋的共振的声音，不知道是不是所有308都是这样的,消极
动力，外观，通过性，非承载车身,积极
油耗真的很满意、目前算下来一公里4毛、对于这车重、这油耗还有什么想的勒？动力我也很满意、可能是我加97的关系吧、而且用的机油也是全合成的5-30的、所有动力感觉还可以,积极
非承载车身，大空间，分时四驱加差速锁,积极
外观啊，绝对秒杀百万级以下跑车，个人觉得尤其是黄色。开到大街上比100万以下的其他跑车都惹眼。每天都被路人拍照。不管男的女的这一个劲的看。,积极
没有胎压检测算了，没有定速巡航也算了，倒车雷达也没有是最不满意的，本田你差这几百元吗？,消极
这么贵贵的车没有一键升窗。有时候锁车了，忘记关窗，还得回去手动关上，甚是尴尬啊,消极
不太好的铺装路面和关了4门的时候（俩个条件必须都具备时）胎噪有点大，但可以承受。,消极
后备箱空间真的大，车的外观时尚，大气。开起来很轻松。日间行车灯太帅了。,积极
起步有劲超车有底气了，,积极
漂亮，朋友都觉得外形很不错，目前国产车属于漂亮的车车啦啦，而且比伙计买的时候多了些装潢赠送，而且都很实用，脚垫、车窗膜、拖把一大堆，验完车车交到手里就是美美的开走了,积极
油耗油耗油耗，重要的事说三遍，比起大众车油耗要高超多，大家懂滴。,消极
驾驶舒服，路感好，操作性强！中控大屏不错，蓝牙电话实用，带语音搜索，感觉非常强大！后背箱挺大，家庭用足够了！,积极
对隔音的控制外观也好看,积极
不满意的就是倒车油门太冲了，让我觉得有点危险性了。其它的都很好选择名图我没有后悔。棒棒的！最关键没有esp没有esp十几万的车没有esp有点接受不了啊,消极
油耗太高，目前基本在11、12个，希望首保后能降到19以下。新车皮子的气味太大，买了活性炭，感觉稍后会好些吧。,消极
车头能不能大气一点，内饰能不能呢个软一点，再软一点。,消极
空间大空间大，动力也说的过去，外观漂亮，内饰也不错,积极
进口车办牌手续太麻烦,消极
前排空间够大！外观比较帅气！动力强劲！省油！,积极
